year,temp_smooth
1,13.835137785952508
2,13.83522045995658
3,13.835303133960647
4,13.835385807964716
5,13.835468481968782
6,13.835551155972851
7,13.83563382997692
8,13.835716503980988
9,13.835799177985058
10,13.835881851989125
11,13.835964525993196
12,13.836047199997264
13,13.836129874001331
14,13.836212548005399
15,13.836295222009468
16,13.836377896013538
17,13.836460570017605
18,13.836543244021675
19,13.836625918025742
20,13.836708592029812
21,13.836791266033883
22,13.836873940037949
23,13.836956614042018
24,13.837039288046087
25,13.837121962050155
26,13.837204636054222
27,13.837287310058292
28,13.837369984062361
29,13.83745265806643
30,13.837535332070498
31,13.837618006074567
32,13.837700680078635
33,13.837783354082703
34,13.837866028086774
35,13.837948702090841
36,13.83803137609491
37,13.838114050098978
38,13.838196724103046
39,13.838279398107115
40,13.838362072111185
41,13.838444746115252
42,13.838527420119323
43,13.838610094123391
44,13.838692768127459
45,13.838775442131528
46,13.838858116135597
47,13.838940790139665
48,13.839023464143732
49,13.839106138147802
50,13.839188812151871
51,13.83927148615594
52,13.839354160160008
53,13.839436834164076
54,13.839519508168145
55,13.839602182172214
56,13.839684856176284
57,13.83976753018035
58,13.83985020418442
59,13.839932878188488
60,13.840015552192556
61,13.840098226196625
62,13.840180900200695
63,13.840263574204762
64,13.840346248208832
65,13.8404289222129
66,13.840511596216968
67,13.840594270221038
68,13.840676944225105
69,13.840759618229175
70,13.840842292233244
71,13.840924966237312
72,13.841007640241381
73,13.84109031424545
74,13.841172988249518
75,13.841255662253586
76,13.841338336257655
77,13.841421010261724
78,13.841503684265792
79,13.84158635826986
80,13.841669032273929
81,13.841751706277998
82,13.841834380282066
83,13.841917054286135
84,13.841999728290205
85,13.842082402294272
86,13.842165076298341
87,13.842247750302409
88,13.842330424306477
89,13.842413098310546
90,13.842495772314615
91,13.842578446318683
92,13.842661120322754
93,13.842743794326822
94,13.842826468330891
95,13.842909142334959
96,13.842991816339028
97,13.843074490343096
98,13.843157164347163
99,13.843239838351233
100,13.843322512355302
101,13.843485336553856
102,13.843645636942826
103,13.843803413522211
104,13.843958666292016
105,13.844111395252236
106,13.844261600402872
107,13.844409281743925
108,13.844554439275392
109,13.84469707299728
110,13.84483718290958
111,13.8449747690123
112,13.845109831305436
113,13.845242369788988
114,13.845372384462955
115,13.84549987532734
116,13.84562484238214
117,13.84574728562736
118,13.845867205062994
119,13.845984600689043
120,13.846099472505513
121,13.846211820512396
122,13.846321644709695
123,13.846428945097411
124,13.846533721675547
125,13.846635974444096
126,13.846735703403061
127,13.846832908552443
128,13.846927589892243
129,13.847019747422458
130,13.847109381143092
131,13.84719649105414
132,13.847281077155607
133,13.847363139447486
134,13.847442677929786
135,13.847519692602502
136,13.847594183465633
137,13.847666150519181
138,13.847735593763144
139,13.847802513197525
140,13.847866908822324
141,13.847928780637536
142,13.847988128643165
143,13.848044952839214
144,13.848099253225675
145,13.848151029802557
146,13.848200282569852
147,13.848247011527567
148,13.848291216675694
149,13.84833289801424
150,13.848372055543203
151,13.848408689262582
152,13.848442799172377
153,13.848474385272588
154,13.848503447563216
155,13.84852998604426
156,13.848554000715723
157,13.8485754915776
158,13.848594458629895
159,13.848610901872606
160,13.848624821305734
161,13.848636216929277
162,13.848645088743238
163,13.848651436747616
164,13.848655260942408
165,13.848656561327617
166,13.848655337903244
167,13.848651590669286
168,13.848645319625746
169,13.848636524772623
170,13.848625206109913
171,13.848611363637625
172,13.848594997355747
173,13.84857610726429
174,13.848554693363248
175,13.848530755652622
176,13.848504294132415
177,13.848475308802621
178,13.848443799663247
179,13.848409766714287
180,13.848373209955744
181,13.84833412938762
182,13.848292525009906
183,13.848248396822616
184,13.84820174482574
185,13.84815256901928
186,13.848100869403236
187,13.848046645977607
188,13.847989898742398
189,13.847930627697604
190,13.847868832843226
191,13.847804514179265
192,13.84773767170572
193,13.84766830542259
194,13.847596415329878
195,13.847522001427585
196,13.847445063715707
197,13.847365602194245
198,13.8472836168632
199,13.84719910772257
200,13.847112074772356
201,13.847022130444845
202,13.84693179854962
203,13.846841079086682
204,13.846749972056026
205,13.846658477457657
206,13.846566595291572
207,13.846474325557773
208,13.84638166825626
209,13.846288623387032
210,13.84619519095009
211,13.846101370945433
212,13.846007163373061
213,13.845912568232972
214,13.845817585525173
215,13.845722215249657
216,13.845626457406425
217,13.845530311995482
218,13.84543377901682
219,13.845336858470445
220,13.845239550356357
221,13.845141854674553
222,13.845043771425035
223,13.844945300607804
224,13.844846442222854
225,13.844747196270191
226,13.844647562749815
227,13.844547541661724
228,13.844447133005916
229,13.844346336782396
230,13.84424515299116
231,13.84414358163221
232,13.844041622705545
233,13.843939276211165
234,13.84383654214907
235,13.843733420519262
236,13.843629911321738
237,13.843526014556499
238,13.843421730223547
239,13.843317058322878
240,13.8432119988545
241,13.843106551818401
242,13.843000717214588
243,13.842894495043064
244,13.84278788530382
245,13.842680887996867
246,13.842573503122196
247,13.842465730679812
248,13.842357570669712
249,13.842249023091899
250,13.842140087946369
251,13.842030765233124
252,13.841921054952168
253,13.841810957103496
254,13.841700471687107
255,13.841589598703008
256,13.841478338151191
257,13.841366690031657
258,13.841254654344413
259,13.841142231089451
260,13.841029420266775
261,13.840916221876386
262,13.840802635918282
263,13.840688662392463
264,13.840574301298929
265,13.84045955263768
266,13.840344416408717
267,13.84022889261204
268,13.840112981247648
269,13.839996682315538
270,13.839879995815718
271,13.83976292174818
272,13.839645460112928
273,13.839527610909965
274,13.839409374139285
275,13.83929074980089
276,13.83917173789478
277,13.839052338420954
278,13.838932551379417
279,13.83881237677016
280,13.838691814593195
281,13.83857086484851
282,13.838449527536113
283,13.838327802656002
284,13.838205690208175
285,13.838083190192634
286,13.837960302609376
287,13.837837027458407
288,13.837713364739722
289,13.83758931445332
290,13.837464876599205
291,13.837340051177376
292,13.837214838187831
293,13.837089237630574
294,13.836963249505601
295,13.836836873812913
296,13.836710110552511
297,13.836582959724392
298,13.83645542132856
299,13.836327495365014
300,13.836199181833752
301,13.8360718073255
302,13.835945759407965
303,13.835821038081153
304,13.835697643345062
305,13.835575575199693
306,13.835454833645045
307,13.835335418681117
308,13.835217330307914
309,13.835100568525428
310,13.834985133333667
311,13.834871024732626
312,13.834758242722307
313,13.83464678730271
314,13.834536658473832
315,13.834427856235676
316,13.834320380588242
317,13.83421423153153
318,13.834109409065537
319,13.834005913190268
320,13.83390374390572
321,13.833802901211893
322,13.833703385108786
323,13.833605195596402
324,13.833508332674736
325,13.833412796343795
326,13.833318586603575
327,13.833225703454076
328,13.833134146895299
329,13.833043916927242
330,13.832955013549906
331,13.832867436763292
332,13.8327811865674
333,13.832696262962228
334,13.83261266594778
335,13.832530395524053
336,13.832449451691044
337,13.832369834448759
338,13.832291543797195
339,13.832214579736352
340,13.832138942266232
341,13.83206463138683
342,13.831991647098151
343,13.831919989400197
344,13.83184965829296
345,13.831780653776445
346,13.831712975850651
347,13.831646624515578
348,13.83158159977123
349,13.8315179016176
350,13.83145553005469
351,13.831394485082505
352,13.83133476670104
353,13.831276374910296
354,13.831219309710274
355,13.831163571100973
356,13.831109159082391
357,13.831056073654533
358,13.831004314817399
359,13.830953882570983
360,13.830904776915288
361,13.830856997850317
362,13.830810545376062
363,13.830765419492534
364,13.830721620199725
365,13.830679147497637
366,13.830638001386271
367,13.830598181865627
368,13.830559688935704
369,13.830522522596503
370,13.83048668284802
371,13.830452169690263
372,13.830418983123225
373,13.83038712314691
374,13.830356589761312
375,13.83032738296644
376,13.830299502762287
377,13.830272949148855
378,13.830247722126146
379,13.830223821694156
380,13.83020124785289
381,13.830180000602343
382,13.830160079942523
383,13.830141485873417
384,13.830124218395037
385,13.830108277507378
386,13.83009366321044
387,13.830080375504219
388,13.830068414388723
389,13.83005777986395
390,13.830048471929896
391,13.830040490586565
392,13.830033835833953
393,13.830028507672063
394,13.830024506100898
395,13.83002183112045
396,13.830020482730726
397,13.830020460931719
398,13.83002176572344
399,13.830024397105877
400,13.830028355079037
401,13.830034317664149
402,13.830040958270484
403,13.830048276898046
404,13.830056273546838
405,13.830064948216858
406,13.830074300908104
407,13.830084331620576
408,13.830095040354276
409,13.830106427109204
410,13.830118491885361
411,13.830131234682744
412,13.830144655501353
413,13.83015875434119
414,13.830173531202256
415,13.830188986084547
416,13.830205118988067
417,13.830221929912815
418,13.83023941885879
419,13.830257585825992
420,13.830276430814422
421,13.830295953824075
422,13.83031615485496
423,13.830337033907071
424,13.83035859098041
425,13.830380826074975
426,13.83040373919077
427,13.83042733032779
428,13.830451599486038
429,13.830476546665514
430,13.830502171866218
431,13.830528475088148
432,13.830555456331306
433,13.83058311559569
434,13.830611452881303
435,13.830640468188143
436,13.830670161516208
437,13.830700532865505
438,13.830731582236027
439,13.830763309627773
440,13.83079571504075
441,13.830828798474956
442,13.830862559930386
443,13.830896999407045
444,13.83093211690493
445,13.830967912424043
446,13.831004385964384
447,13.831041537525953
448,13.83107936710875
449,13.83111787471277
450,13.83115706033802
451,13.8311969239845
452,13.831237465652206
453,13.831278685341138
454,13.831320583051298
455,13.831363158782684
456,13.8314064125353
457,13.831450344309141
458,13.83149495410421
459,13.831540241920507
460,13.83158620775803
461,13.831632851616781
462,13.831680173496759
463,13.831728173397966
464,13.831776851320399
465,13.831826207264061
466,13.831876241228949
467,13.831926953215065
468,13.831978343222408
469,13.832030411250978
470,13.832083157300776
471,13.832136581371802
472,13.832190683464054
473,13.832245463577534
474,13.832300921712239
475,13.832357057868176
476,13.832413872045336
477,13.832471364243727
478,13.832529534463346
479,13.83258838270419
480,13.83264790896626
481,13.83270811324956
482,13.832768995554085
483,13.832830555879836
484,13.832892794226819
485,13.832955710595028
486,13.833019304984463
487,13.833083577395126
488,13.833148527827017
489,13.833214156280137
490,13.83328046275448
491,13.833347447250054
492,13.83341510976685
493,13.833483450304879
494,13.833552468864136
495,13.833622165444616
496,13.833692540046327
497,13.833763592669262
498,13.833835323313428
499,13.833907731978817
500,13.833980818665438
501,13.834057987445435
502,13.834138560297584
503,13.834222537221883
504,13.834309918218338
505,13.83440070328694
506,13.834494892427694
507,13.834592485640599
508,13.834693482925655
509,13.834797884282866
510,13.834905689712224
511,13.835016899213736
512,13.835131512787397
513,13.835249530433211
514,13.835370952151177
515,13.835495777941292
516,13.83562400780356
517,13.83575564173798
518,13.835890679744548
519,13.836029121823271
520,13.836170967974144
521,13.836316218197167
522,13.836464872492344
523,13.836616930859671
524,13.836772393299151
525,13.836931259810779
526,13.83709353039456
527,13.837259205050493
528,13.837428283778577
529,13.83760076657881
530,13.837776653451197
531,13.837955944395734
532,13.838138639412424
533,13.838324738501264
534,13.838514241662256
535,13.838707148895397
536,13.838903460200694
537,13.83910317557814
538,13.839306295027736
539,13.839512818549483
540,13.839722746143385
541,13.839936077809433
542,13.840152813547638
543,13.84037295335799
544,13.840596497240496
545,13.840823445195154
546,13.84105379722196
547,13.841287553320921
548,13.84152471349203
549,13.841765277735291
550,13.842009246050706
551,13.842256618438268
552,13.842507394897986
553,13.84276157542985
554,13.843019160033869
555,13.84328014871004
556,13.843544541458362
557,13.843812338278834
558,13.844083539171457
559,13.844358144136232
560,13.844636153173159
561,13.844917566282238
562,13.845202383463468
563,13.845490604716847
564,13.845782230042378
565,13.84607725944006
566,13.846375692909895
567,13.846677530451881
568,13.846982772066019
569,13.847291417752306
570,13.847603467510746
571,13.847918921341337
572,13.84823777924408
573,13.848560041218972
574,13.848885707266017
575,13.849214777385216
576,13.849547251576563
577,13.84988312984006
578,13.850222412175711
579,13.850565098583512
580,13.850911189063465
581,13.851260683615573
582,13.851613582239828
583,13.851969884936233
584,13.852329591704793
585,13.852692702545502
586,13.853059217458362
587,13.853429136443376
588,13.85380245950054
589,13.854179186629855
590,13.85455931783132
591,13.854942853104939
592,13.855329792450707
593,13.85572013586863
594,13.856113883358699
595,13.856511034920922
596,13.856911590555297
597,13.857315550261823
598,13.857722914040501
599,13.85813368189133
600,13.85854785381431
601,13.858960446756797
602,13.859368056646643
603,13.859770683483845
604,13.860168327268402
605,13.860560988000318
606,13.86094866567959
607,13.861331360306218
