year,global_median
50.0,0.13505511194844044
150.0,0.15158991276216408
250.0,0.1426342367825512
350.0,0.12976412688495448
450.0,0.13029258327312307
550.0,0.13766905405775332
650.0,0.17942665357086657
750.0,0.1708554213882666
850.0,0.14030584207808952
950.0,0.11429049102024175
1050.0,0.08432810886273143
1150.0,0.08381864513254218
1250.0,0.0740504972445341
1350.0,0.07282042265674245
1450.0,0.036901290028617445
1550.0,0.03491485825383604
1650.0,0.024983106414871448
1750.0,0.05046003009134794
1850.0,0.0
1950.0,0.08769333766782336
